genre,nom,code_dpt,circo
H,Laurent MALLET,1,1
F,Marie-Jeanne BÉGUET,1,2
F,Olga GIVERNET,1,3
H,Stéphane TROMPILLE,1,4
F,Hélène DE MEIRE,1,5
F,Aude BONO,2,1
H,Marc DELATTE,2,3
H,Jacques KRABAL,2,5
F,Pauline RIVIERE,3,1
F,Laurence VANCEUNEBROCK-MIALON,3,2
F,Bénédicte PEYROL,3,3
F,Delphine BAGARRY,4,1
H,Christophe CASTANER,4,2
F,Caroline REVERSO-MEINIETTI,6,1
F,Alexandra VALETTA ARDISSON,6,4
F,Nathalie AUDIN,6,6
H,Khaled BEN ABDERAHMANE,6,7
H,Philippe BUERCH,6,8
H,Dominique FILLEBEEN,6,9
F,Laurette GOUYET-POMMARET,7,2
H,Matthieu PEYRAUD,7,3
H,Jean Pierre MORALI,8,1
H,Mario IGLESIAS,8,2
F,Huguette BERTRAND VINZERICH,9,2
H,Gregory BESSON-MOREAU,10,1
F,Djamila HADDAD,10,2
F,Danièle HERIN,11,1
H,Alain PEREA,11,2
F,Mireille ROBERT,11,3
H,Stéphane MAZARS,12,1
F,Anne BLANC,12,2
H,Jean-Louis AUSTRUY,12,3
H,Thierry MICHELS,67,1
H,Bruno STUDER,67,3
F,Martine WONNER,67,4
F,Eliane TOMASZEWSKI,67,5
H,Guy SALOMON,67,6
F,Antoinette DE SANTIS,67,7
H,Christian GLIECH,67,8
H,Vincent THIEBAUT,67,9
H,Pascal CHAMASSIAN,13,1
F,Claire PITOLLAT,13,2
F,Corinne VERSINI,13,4
F,Cathy RACON-BOUZON,13,5
F,Eléonore LEPRETRE,13,6
H,Jean-Marc ZULESI,13,8
F,Sylvie BRUNET,13,9
H,François-Michel LAMBERT,13,10
F,Céline GAILHAC,13,12
F,Anne-Laurence PETEL,13,14
F,Nathalie FARRO,13,15
F,Monica MICHEL,13,16
H,Eric HALPHEN,14,2
H,Christophe BLANCHET,14,4
H,Bertrand BOUYX,14,5
H,Alain TOURRET,14,6
H,François DANEMANS,15,1
F,Patricia ROCHES,15,2
H,Thomas MESNIER,16,1
F,Sandra MARSAUD,16,2
F,Madeleine NGOMBET BITOO,16,3
F,Otilia FERREIRA,17,1
F,Frederique GUEREAU - TUFFNELL,17,2
H,Jean Philippe ARDOUIN,17,3
H,Raphael GERARD,17,4
H,Christian GERIN,17,5
H,François CORMIER-BOULIGEON,18,1
F,Nadia ESSAYAN,18,2
H,Loic KERVRAN,18,3
H,Christophe JERRETIE,19,1
F,Patricia BORDAS,19,2
F,Maria GUIDICELLI,2A,1
H,Jean Charles ORSUCCI,2A,2
F,Fadila KHATTABI,21,3
F,Yolaine DE COURSON,21,4
H,Didier PARIS,21,5
H,Bruno JONCOUR,22,1
H,Hervé BERVILLE,22,2
H,Olivier ALAIN,22,3
H,Jean-Baptiste MOREAU,23,1
H,Guillaume CHICHE,79,1
F,Christine-Nelly HEINTZ,79,2
H,Jean-Marie FIEVET,79,3
H,Philippe CHASSAING,24,1
H,Michel DELPON,24,2
F,Jacqueline DUBOIS,24,4
F,Fannette CHARVIER,25,1
H,Denis SOMMER,25,3
H,Frédéric BARBIER,25,4
F,Sylvie LE HIR,25,5
F,Mireille CLAPOT,26,1
F,Alice THOUROT,26,2
F,Latifa CHAY,26,4
F,Laetitia ROMEIRO DIAS,91,3
F,Marie-Pierre RIXAIN,91,4
H,Cédric VILLANI,91,5
F,Amélie DE MONTCHALIN,91,6
F,Murielle KERNREUTER,91,7
H,Antoine PAVAMANI,91,8
F,Marie GUEVENOUX,91,9
H,Pierre-Alain RAPHAN,91,10
H,Fabien GOUTTEFARDE,27,2
F,Marie TAMARELLE,27,3
H,Bruno QUESTEL,27,4
F,Claire OPETIT,27,5
H,Guillaume KASBARIAN,28,1
F,Claire Tassadit HOUD,28,2
F,Clémence ROUVIER,28,4
F,Annaïg LE MEUR-ROUX,29,1
H,Jean-Charles LARSONNEUR,29,2
H,Didier LE GAC,29,3
F,Sandrine LE FEUR,29,4
F,Graziella MELCHIOR,29,5
H,Richard FERRAND,29,6
F,Liliane TANGUY,29,7
H,Erwan BALANANT,29,8
H,Roland LESCURE,999,1
F,Paula FORTEZA,999,2
H,Pieyre Alexandre ANGLADE,999,4
F,Samantha CAZEBONNE,999,5
H,Joachim SON FORGET,999,6
H,Frédéric PETIT,999,7
F,Florence DRORY,999,8
F,Leila AICHI,999,9
F,Amal Amélia LAKRAFI,999,10
F,Anne GENETET,999,11
F,Françoise DUMAS,30,1
F,Marie SARA,30,2
H,Anthony CELLIER,30,3
F,Annie CHAPELIER,30,4
H,Olivier GAILLARD,30,5
H,Jean-René CAZENEUVE,32,1
H,Christophe SOCCIO,32,2
F,Dominique DAVID,33,1
F,Catherine FABRE,33,2
H,Marik FETOUH,33,3
H,Aziz SKALLI BOUAZIZA,33,4
H,Benoit SIMIAN,33,5
H,Eric POULLIAT,33,6
F,Bérangère COUILLARD,33,7
F,Sophie PANONACLE,33,8
F,Sophie METTE,33,9
H,Florent BOUDIE,33,10
F,Véronique HAMMERER,33,11
F,Christelle DUBOS,33,12
H,Olivier SERVA,971,1
F,Stéphanie VILLEMIN,68,1
H,Patrick STRIBY,68,3
F,Aurélie TACQUARD,68,4
H,Francois ORLANDI,2B,1
H,Francis  GIUDICI,2B,2
H,Pierre CABARE,31,1
H,Jean-Luc LAGLEIZE,31,2
F,Corinne VIGNON,31,3
H,Mickael NOGAL,31,4
F,Monique IBORRA,31,6
F,Elisabeth TOUTUT-PICARD,31,7
F,Sandrine MORCH,31,9
H,Sebastien NADOT,31,10
F,Cécile GALLIEN,43,1
H,Pierre ETEOCLE,43,2
F,Bérangère ABBA,52,1
H,Vincent BERTHET,52,2
F,Barbara BESSOT BALLOT,70,1
F,Véronique RIOTTON,74,1
F,Frédérique LARDET,74,2
H,Guillaume GIBOUIN,74,3
F,Laura DEVIN,74,4
F,Marion LENNE,74,5
H,Xavier ROSEREN,74,6
F,Sophie BEAUDOUIN-HUBIERE,87,1
H,Jean Baptiste DJEBBARI,87,2
F,Marie-Ange MAGNE,87,3
F,Pascale BOYER,5,1
H,Jean-Bernard SEMPASTOUS,65,1
F,Marie Agnes STARICKY,65,2
F,Isia KHALFI,92,1
H,Adrien TAQUET,92,2
F,Christine HENNION,92,3
F,Isabelle FLORENNES,92,4
H,Laurent ZAMECZKOWSKI,92,6
H,Gabriel ATTAL,92,10
F,Laurianne ROSSI,92,11
F,Frédérique DUMAS,92,13
F,Patricia MIRALLES,34,1
F,Stéphanie JANNIN,34,2
F,Coralie DUBOST,34,3
H,Jean-François ELIAOU,34,4
H,Philippe HUPPE,34,5
F,Isabelle VOYER,34,6
H,Patrick VIGNAL,34,9
H,Mustapha LAABID,35,1
H,Gaspard GANTZER,35,2
H,Gaël LE BOHEC,35,4
F,Christine CLOAREC,35,5
F,Valérie FRIBOLLE,35,7
H,Florian BACHELIER,35,8
F,Emilie FARMAN,36,1
F,Sophie GUERIN,36,2
H,Philippe CHALUMEAU,37,1
H,Daniel LABARONNE,37,2
F,Fabienne COLBOC,37,4
F,Sabine THILLAYE,37,5
H,Olivier VERAN,38,1
H,Jean-Charles COLAS-ROY,38,2
F,Emilie CHALAS,38,3
F,Catherine KAMOWSKI,38,5
F,Cendra MOTIN,38,6
F,Monique LIMON,38,7
F,Caroline ABADIE,38,8
F,Elodie Jacquier Laforge,38,9
F,Anne PROST-GROSJEAN,39,2
F,Léopoldine SETTAMA-VIDON,974,5
F,Geneviève DARRIEUSSECQ,40,1
H,Lionel CAUSSE,40,2
H,Jean Pierre Louis STEINER,40,3
H,Jean-Luc BRAULT,41,2
F,Christine JAGUENEAU,41,3
H,Jean-Michel MIS,42,2
F,Valéria MUNTIAN,42,3
H,David KAUFFER,42,4
H,Julien BOROWCZYK,42,6
H,François DE RUGY,44,1
F,Valérie OPPELT,44,2
F,Anne-France BRUNET,44,3
F,Aude AMADOU,44,4
H,Yves DANIEL,44,6
F,Sandrine JOSSO,44,7
F,Audrey DUFEU SCHUBERT,44,8
F,Sophie ERRANTE,44,10
F,Stéphanie RIST,45,1
H,Emmanuel CONSTANTIN,45,2
H,Jihan CHELLY,45,3
F,Mélusine HARLE,45,4
H,David SIMONNET,45,5
H,Richard RAMOS,45,6
H,Sébastien MAUREL,46,1
F,Huguette TIEGNA,46,2
H,Michel LAUZZANA,47,1
H,Alexandre FRESCHI,47,2
H,Olivier DAMAISIN,47,3
H,Francis PALOMBI,48,1
H,Matthieu ORPHELIN,49,1
F,Stella DUPONT,49,2
F,Anne BARRAULT,49,3
F,Laetitia SAINT-PAUL,49,4
H,Denis MASSEGLIA,49,5
F,Nicole DUBRE CHIRAT,49,6
H,Philippe BOLO,49,7
H,Hervé HOUEL,50,1
H,Bertrand SORRE,50,2
H,Stéphane TRAVERT,50,3
H,Blaise MISLER,50,4
H,Eric GIRARDIN,51,3
H,Bertrand TREPO,51,5
F,Chantal MAGNANT,972,1
H,Max ORVILLE,972,3
H,Josselin CHOUZY,53,3
F,Carole GRANDJEAN,54,1
H,Xavier PALUSZKIEWICZ,54,3
H,Philippe BUZZI,54,4
F,Marion BUCHET,54,5
F,Diana ANDRE,55,1
F,Emilie CARIOU,55,2
H,Gérard PILLET,56,2
F,Nicole LE PEIH,56,3
H,Paul MOLAC,56,4
F,Gwendal ROUILLARD,56,5
H,Jean-Michel JACQUES,56,6
H,Belkhir BELHADDAD,57,1
H,Ludovic MENDES,57,2
H,Richard LIOGER,57,3
F,Mathilde HUCHOT,57,4
F,Perrine GOULET,58,1
H,Patrice PERROT,58,2
H,Christophe ITIER,59,1
H,Christophe DI POMPEO,59,3
F,Brigitte LISO,59,4
H,Guillaume DEKONINCK,59,5
F,Charlotte LECOQ,59,6
H,Arnaud VERSPIEREN,59,7
F,Catherine OSSON,59,8
F,Valérie PETIT,59,9
F,Sophie TAIEB,59,10
H,Laurent PIETRASZEWSKY,59,11
H,Julien LEMAITTE,59,14
F,Jennifer DE TEMMERMAN,59,15
F,Chantal RYBAK,59,16
H,Dimitri HOUBRON,59,17
F,Claire POMMEYROLE,59,18
H,Daniel ZIELINSKI,59,20
H,Denis FLOUR,60,1
F,Agnès THILL,60,2
H,Pascal BOIS,60,3
F,Emmanuelle BOUR POITRINAL,60,4
F,Fatima MASSAU,60,5
F,Carole BUREAU-BONNARD,60,6
H,Jean-Francois DARDENNE,60,7
F,Ophélie LEROUGE,61,2
F,Isabelle BOSCHER,61,3
H,Gilles LEGENDRE,75,2
H,Stanislas GUERINI,75,3
H,Benjamin GRIVEAUX,75,5
F,Laetitia AVIA,75,8
H,Hugues RENSON,75,13
F,Valérie BOUGAULT,75,14
H,Mounir MAHJOUBI,75,16
H,Bruno DUVERGÉ,62,1
H,Thibault GUILLY,62,4
H,Jean Pierre PONT,62,5
F,Brigitte BOURGUIGNON,62,6
H,Benoit POTTERIE,62,8
F,Laurence DESCHANEL,62,10
F,Anne ROQUET,62,11
F,Coralie REMBERT,62,12
F,Valérie THOMAS,63,1
H,Mohand HAMOUMOU,63,2
F,Laurence VICHNIEVSKY,63,3
H,Sébastien GARDETTE,63,5
F,Josie PUEYTO,64,1
H,Loic CORREGE,64,4
F,Florence LASSERRE,64,5
H,Romain GRAU,66,1
F,Sebastien CAZENOVE,66,4
H,Thomas RUDIGOZ,69,1
H,Hubert JULIEN LAFERRIERE,69,2
H,Jean-Louis TOURAINE,69,3
F,Anne BRUGNERA,69,4
F,Blandine BROCART,69,5
H,Bruno BONNELL,69,6
F,Anissa KHEDHER,69,7
F,Marion RIOU,69,9
H,Thomas GASSILOUD,69,10
H,Jean-Luc FUGIT,69,11
H,Cyrille ISAAC-SYBILLE,69,12
F,Danielle CAZARIAN,69,13
H,Yves BLEIN,69,14
F,Ines BOUCHAUT CHOISY,977,1
H,Benjamin DIRX,71,1
H,Rémy REBEYROTTE,71,3
H,Raphael GAUVAIN,71,5
H,Damien PICHEREAU,72,1
F,Aurélie PEROT,72,2
F,Pascale FONTENEL PERSONNE,72,3
H,Willy COLIN,72,5
H,Patrick MIGNOLA,73,4
F,Aude LUQUET,77,1
H,Emmanuel MARCADET,77,4
F,Laetitia MARTIG DECES,77,6
H,Rodrigue KOKOUENDO,77,7
H,Jean-Michel FAUVERGUE,77,8
F,Stéphanie DO,77,10
F,Amandine RUBINELLI,77,11
H,Damien ADAM,76,1
F,Annie VIDAL,76,2
H,William Vladimir TCHAMAHA PATIPE,76,3
H,Philippe DUFOUR,76,6
F,Béatrice DELAMOTTE,76,8
F,Stéphanie KERBARH,76,9
H,Xavier BATUT,76,10
F,Véronique AVRIL,93,2
H,Patrice ANATO,93,3
F,Prisca THEVENOT,93,4
F,Malika MAALEM,93,5
H,Alexandre AIDARA,93,6
F,Halima MENNOUDJ,93,7
F,Sylvie CHARRIERE,93,8
F,Jeanne DROMARD,93,9
H,Billel OUADAH,93,10
F,Elsa WANLIN,93,11
H,Stéphane TESTE,93,12
H,Nicolas DUMONT,80,1
F,Barbara POMPILI,80,2
H,Jean Claude LECLABART,80,4
H,Thierry VINDEVOGEL,80,5
F,Marie-Christine VERDIER JOUCLAS,81,2
H,Jean TERLIER,81,3
H,Pierre MARDEGAN,82,1
H,Bruno KERN,90,2
F,Isabelle MULLER-QUOY,95,1
H,Guillaume VUILLETET,95,2
F,Naima MOUTCHOU,95,4
F,Fiona LAZAAR,95,5
H,Dominique DA SILVA,95,7
F,Zivka PARK,95,9
H,Aurélien TACHE,95,10
H,Frédéric DESCROZAILLE,94,1
H,Laurent SAINT MARTIN,94,3
F,Nadine RET,94,5
H,Guillaume GOUFFIER CHA,94,6
H,Jean-Jacques BRIDEY,94,7
F,Jennifer DOUIEB NAHON,94,8
F,Sheerazed BOULKROUN,94,10
F,Albane GAILLOT,94,11
F,Cécile MUSCHOTTI,83,2
H,Alexandre ZAPOLSKI,83,3
F,Solveig SEREINE MAUBORGNE,83,4
F,Valérie GOMEZ-BASSAC,83,6
F,Emilie GUEREL,83,7
H,Fabien MATRAS,83,8
H,Jean-Francois CESARINI,84,1
F,Sonia STRAPELIAS,84,2
F,Brune POIRSON,84,3
H,Anthony ZILIO,84,4
H,Jean VIARD,84,5
H,Stéphane BUCHOU,85,3
H,Pierre HENRIET,85,5
H,Jacques SAVATIER,86,1
H,Sacha HOULIE,86,2
H,Jean-Michel CLEMENT,86,3
F,Alisson HAMELIN,88,1
F,Christine URBES,88,2
H,Claude THIRARD,88,3
H,Raynald MAGNIEN COEURDACIER,88,4
H,Paulo DA SILVA MOREIRA,89,1
H,Jean-Yves CAULLET,89,2
F,Michèle CROUZET,89,3
H,Didier BAICHERE,78,1
H,Jean-Noël BARROT,78,2
F,Béatrice PIRON,78,3
F,Marie LEBEC,78,4
H,Yael BRAUN-PIVET,78,5
F,Natalia POUZYREFF,78,6
F,Michèle DE VAUCOULEURS,78,7
F,Khadija MOUDNIB,78,8
F,Aurore BERGE,78,10
F,Nadia HAI,78,11
F,Florence GRANJUS,78,12