Hosts,Host,Role,Portfolio,Date,Subject,Lobby Organisation,id
Kevin O'Connell Renate Nikolay,Kevin O'Connell,Cabinet,Justice,04/12/2015,Safe Harbour,Facebook,204
Kevin O'Connell Renate Nikolay,Renate Nikolay,Cabinet,Justice,04/12/2015,Safe Harbour,Facebook,206
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,04/12/2015,Safe Harbour,Facebook,207
Nele Eichhorn,Nele Eichhorn,Cabinet,Trade,07/12/2015,digital trade,Apple,202
Jasmin Battista Juhan Lepassaar,Jasmin Battista,Cabinet,Digital Single Market,11/12/2015,collaborative economy within the Single Market,Uber,200
Jasmin Battista Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,11/12/2015,collaborative economy within the Single Market,Uber,201
Szabolcs Horvath Adrienn Kiraly,Adrienn Kiraly,Cabinet,Education,17/12/2015,"Google Cultural institute future initiatives, Copyright",Google,198
Szabolcs Horvath Adrienn Kiraly,Szabolcs Horvath,Cabinet,Education,17/12/2015,"Google Cultural institute future initiatives, Copyright",Google,199
Kevin O'Connell,Kevin O'Connell,Cabinet,Justice,18/01/2016,Safe Harbour,Microsoft,196
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,18/01/2016,Safe Harbour,Microsoft,197
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,19/01/2016,DSM,Microsoft,192
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,19/01/2016,"Safe harbour, data centers in EU",Microsoft,189
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,19/01/2016,"Safe harbour, data centers in EU",Microsoft,193
Mette Toftdal Grolleman,Mette Toftdal Grolleman,Cabinet,Financial Markets,19/01/2016,Digitalisation in the banking sector and use of technology,Microsoft,194
Diane Schmitt Sofia Asteriadi,Diane Schmitt,Cabinet,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,190
Commissioner Dimitris Avramopoulos,Dimitris Avramopoulos,Commissioner,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,191
Diane Schmitt Sofia Asteriadi,Sofia Asteriadi,Cabinet,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,195
Szabolcs Horvath Alicja Magda HERBOWSKA,Alicja Magda Herbowska,Cabinet,Education,20/01/2016,Google Cultural Institute and Digital Single Market,Google,187
Szabolcs Horvath Alicja Magda HERBOWSKA,Szabolcs Horvath,Cabinet,Education,20/01/2016,Google Cultural Institute and Digital Single Market,Google,188
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,21/01/2016,DSM,Google,185
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,21/01/2016,"DSM, platforms, innovation",Uber,184
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,21/01/2016,"Uber in Europe, EU law, EU legal framework and regulatory framework in relation to the collaborative economy.",Uber,186
Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,22/01/2016,Digital Single Market,Google,183
Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,22/01/2016,Sharing economy,Uber,181
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,22/01/2016,Sharing economy,Uber,182
Commissioner Carlos Moedas,Carlos Moedas,Commissioner,Research,23/01/2016,Open Innovation,Uber,180
Director-General Henrik Hololei,Henrik Hololei,Director-General,Transport,26/01/2016,drones,Amazon,179
Carl-Christian Buhr,Carl-Christian Buhr,Cabinet,Agriculture,27/01/2016,General presentation of setup and outlook of Google Ireland; ICT and rural development,Google,176
Friedrich Wenzel Bulst Linsey Mccallum,Friedrich Wenzel Bulst,Cabinet,Competition,27/01/2016,The Commission´s Digital Single Market Initiatives,Facebook,177
Friedrich Wenzel Bulst Linsey Mccallum,Linsey Mccallum,Cabinet,Competition,27/01/2016,The Commission´s Digital Single Market Initiatives,Facebook,178
Fabien Dell Maria Elena Scoppio,Elena Scoppio,Cabinet,Economics & Tax,01/02/2016,presentation of the company + discussions on ongoing tax initiatives,Amazon,173
Fabien Dell Maria Elena Scoppio,Fabien Dell Maria,Cabinet,Economics & Tax,01/02/2016,presentation of the company + discussions on ongoing tax initiatives,Amazon,174
Director-General Stephen Quest,Stephen Quest,Director-General,Economics & Tax,01/02/2016,Exchange of views on tax issues,Amazon,175
Juhan Lepassaar Vivian LOONELA,Juhan Lepassaar,Cabinet,Digital Single Market,02/02/2016,"DSM, platforms and geo-blocking",Amazon,171
Juhan Lepassaar Vivian LOONELA,Vivian Loonela,Cabinet,Digital Single Market,02/02/2016,"DSM, platforms and geo-blocking",Amazon,172
Eduard Hulicius Renate Nikolay,Eduard Hulicius,Cabinet,Justice,04/02/2016,"Data protection, Consumer policy",Amazon,169
Eduard Hulicius Renate Nikolay,Renate Nikolay,Cabinet,Justice,04/02/2016,"Data protection, Consumer policy",Amazon,170
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,09/02/2016,DSM,Microsoft,168
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,15/02/2016,"DSM agenda, hate speech online, digital contracts",Facebook,167
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,16/02/2016,"e-privacy reform, lawful access, and jurisdiction",Microsoft,166
Bodo Lehmann,Bodo Lehmann,Cabinet,Digital Economy,18/02/2016,e_privacy review,Microsoft,164
Director-General Roberto Viola,Roberto Viola,Director-General,Digital Economy,18/02/2016,DSM: Google engagement to improve digital skills in Europe - Platforms: present Google position on the discussion around platforms and discuss how self/co-regulation could address some of the policy issues on the table - European Cloud initiative: how Google can contribute to this important initiative,Google,165
Isabelle Perignon Kevin O'Connell,Isabelle Perignon,Cabinet,Justice,19/02/2016,"e-privacy reform, lawful access, and jurisdiction",Microsoft,162
Isabelle Perignon Kevin O'Connell,Kevin O'Connell,Cabinet,Justice,19/02/2016,"e-privacy reform, lawful access, and jurisdiction",Microsoft,163
Director-General Roberto Viola,Roberto Viola,Director-General,Digital Economy,23/02/2016,Review of Regulatory Framework; Platforms/OTT; Net Neutrality.,Facebook,161
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,23/02/2016,"e-privacy, next steps on the directive",Google,160
Bodo Lehmann,Bodo Lehmann,Cabinet,Digital Economy,24/02/2016,ePrivacy review,Microsoft,159
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,25/02/2016,"Digital Skills, DSM",Google,156
Martin Selmayr Pauline Rouch,Martin Selmayr,Cabinet,Presidency,25/02/2016,Digital Single Market,Google,157
Martin Selmayr Pauline Rouch,Pauline Rouch,Cabinet,Presidency,25/02/2016,Digital Single Market,Google,158
"Fabrice Comptour 
Tomasz Husak ",Fabrice Comptour,Cabinet,Internal Market,01/03/2016,Digital single market,Google,154
"Fabrice Comptour 
Tomasz Husak ",Tomasz Husak,Cabinet,Internal Market,01/03/2016,Digital single market,Google,155
Aura Salla,Aura Salla,Cabinet,Jobs & Growth,03/03/2016,Presenting new features in facebook,Facebook,153
Julie Fionda,Julie Fionda,Cabinet,Employment,08/03/2016,Skills,Facebook,152
Anna Herold,Anna Herold,Cabinet,Digital Economy,09/03/2016,DSM,Facebook,151
Vice-President Kristalina Georgieva,Kristalina Georgieva,Vice-President,Budget,19/03/2016,"Meeting of VP Georgieva with Caroline Atkinson, Google's Vice President of Public Policy",Google,150
"Laure Chapuis-Kombos 
Juhan Lepassaar",Juhan Lepassaar,Cabinet,Digital Single Market,21/03/2016,Digital news,Google,147
"Laure Chapuis-Kombos 
Juhan Lepassaar",Laure Chapuis-Kombos,Cabinet,Digital Single Market,21/03/2016,Digital News,Google,148
Commissioner Tibor Navracsics,Tibor Navracsics,Commissioner,Education,21/03/2016,Digital Single Market,Google,149
Director-General Henrik Hololei,Henrik Hololei,Director-General,Transport,21/03/2016,Digitalisation of transport,Google,146
"Anna Herold 
Michael Hager ",Anna Herold,Cabinet,Digital Economy,22/03/2016,Google news,Google,144
"Anna Herold 
Michael Hager ",Michael Hager,Cabinet,Digital Economy,22/03/2016,Google news,Google,145
Robert Schröder,Robert Schröder,Cabinet,Research,29/03/2016,Innovation and regulation,Uber,143
Marika LAUTSO-MOUSNIER,Marika Lautso-Mousnier,Cabinet,Jobs & Growth,04/04/2016,"e-privacy reform, lawful access and jurisdiction",Microsoft,141
Pauline Rouch,Pauline Rouch,Cabinet,Presidency,04/04/2016,Digital Single Market,Google,142
Marlene Holzner,Marlene Holzner,Cabinet,Digital Economy,11/04/2016,AVMSD,Facebook,140
Director-General Roberto Viola,Roberto Viola,Director-General,Digital Economy,19/04/2016,"Upcoming telecommunication policy issues incl. Issues regarding better regulation, deregulation, the role of OTT's and network neutrality.",Facebook,139
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,20/04/2016,opening of Brussels premises,Facebook,138
Director-General Gertrud Ingestad,Gertrud Ingestad,Director-General,Digital Economy,22/04/2016,"Google Presentation, Google Innovations, Devices at work (android and chrome),",Google,135
Michael Hager,Michael Hager,Cabinet,Digital Economy,22/04/2016,Innovation policy,Microsoft,137
"Giulia Del Brenna 
Antonio Lowndes Marques De Araujo Vicente",Antonio Lowndes Marques De Araujo Vicente ,Cabinet,Research,22/04/2016,Innovation policy,Microsoft,134
"Giulia Del Brenna 
Antonio Lowndes Marques De Araujo Vicente ",Giulia Del Brenna,Cabinet,Research,22/04/2016,Innovation policy,Microsoft,136
Marlene Holzner,Marlene Holzner,Cabinet,Digital Economy,25/04/2016,AVMSD,Twitter,132
"Daniel Braun 
Renate Nikolay ",Daniel Braun,Cabinet,Justice,25/04/2016,Hate speech on-line,Twitter,131
"Daniel Braun 
Renate Nikolay ",Renate Nikolay,Cabinet,Justice,25/04/2016,Hate speech on-line,Twitter,133
Yvon Slingenberg,Yvon Slingenberg,Cabinet,Climate & Energy,28/04/2016,"RES, Circular Economy",Google,130
Michael Hager,Michael Hager,Cabinet,Digital Economy,29/04/2016,DSM,Facebook,129
Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,29/04/2016,DSM,Facebook,128
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,03/05/2016,"Online platforms, e-commerce package, start-ups",Google,124
"Tomasz Husak 
Fabrice Comptour 
Kaius Kristian Hedberg ",Fabrice Comptour,Cabinet,Internal Market,03/05/2016,"Online platforms, e-commerce package, start-ups",Google,125
"Tomasz Husak 
Fabrice Comptour 
Kaius Kristian Hedberg ",Kaius Kristian Hedberg,Cabinet,Internal Market,03/05/2016,"Online platforms, e-commerce package, start-ups",Google,126
"Tomasz Husak 
Fabrice Comptour 
Kaius Kristian Hedberg ",Tomasz Husak,Cabinet,Internal Market,03/05/2016,"Online platforms, e-commerce package, start-ups",Google,127
"Daniel Giorev 
Denis CHAIBI ",Daniel Giorev,Cabinet,Budget,04/05/2016,"Meeting with Benoit Tabaka, Head of Mobile Economic Policy EMEA",Google,122
"Daniel Giorev 
Denis CHAIBI ",Denis Chaibi,Cabinet,Budget,04/05/2016,"Meeting with Benoit Tabaka, Head of Mobile Economic Policy EMEA",Google,123
Stefaan Hermans,Stefan Hermans,Cabinet,Employment,18/05/2016,Digital skills,Google,121
Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,18/05/2016,Collaborative economy,Uber,120
Head of the EPSC Ann Mettler,Ann Mettler,Head of the EPSC,Presidency,18/05/2016,Digital Economy,Google,119
Michael Hager,Michael Hager,Cabinet,Digital Economy,19/05/2016,DSM,Google,117
Director-General Roberto Viola,Roberto Viola,Director-General,Digital Economy,19/05/2016,How Google can support the forthcoming co-regulation initiatives of EU Commission; Google vision on Copyright reform with specific regards to neighbouring rights; How Google can support the Commission agenda on the free flow of data and European cloud for research.,Google,118
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,19/05/2016,"Platforms, copyright, DSM",Google,115
Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,19/05/2016,"Platforms, copyright, DSM",Google,116
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,20/05/2016,Product safety,Amazon,114
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,23/05/2016,Collaborative economy,Uber,106
Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,23/05/2016,Collaborative economy,Uber,107
Kaius Kristian Hedberg,Kaius Kristian Hedberg,Cabinet,Internal Market,23/05/2016,Collaborative economy,Uber,112
Juho Romakkaniemi,Juho Romakkaniemi,Cabinet,Jobs & Growth,23/05/2016,Collaborative economy,Uber,111
Commissioner Carlos Moedas,Carlos Moedas,Commissioner,Research,23/05/2016,European Innovation Council / Boost disruptive innovation,Uber,105
"Jocelyn Fajardo 
Joshua Salsby ",Jocelyn Fajardo,Cabinet,Transport,23/05/2016,Meeting with Uber CEO,Uber,108
"Jocelyn Fajardo 
Joshua Salsby ",Joshua Salsby,Cabinet,Transport,23/05/2016,Meeting with Uber CEO,Uber,109
Josha Salsby,Joshua Salsby,Cabinet,Transport,23/05/2016,Collaborative economy,Uber,110
Commissioner Violeta Bulc,Violeta Bulc,Commissioner,Transport,23/05/2016,Meeting with Uber CEO,Uber,113
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,24/05/2016,"Platforms, collaborative economy, e-commerce, startups",Uber,101
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,24/05/2016,"Platforms, e-Commerce, geoblocking, copyright, competition, EU-US relations
",Apple,102
Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,24/05/2016,"Platforms, collaborative economy, e-commerce, startups",Uber,103
Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,24/05/2016,"Platforms, e-Commerce, geoblocking, copyright, competition, EU-US relations",Apple,104
"Giorgios ROSSIDES 
Diane Schmitt ",Diane Schmitt,Cabinet,Home Affairs,25/05/2016,Use of new technologies in the context of the security and migration crisis; EU Internet Forum follow up,Microsoft,99
"Giorgios ROSSIDES 
Diane Schmitt ",Giorgios Rossido,Cabinet,Home Affairs,25/05/2016,Use of new technologies in the context of the security and migration crisis; EU Internet Forum follow up,Microsoft,100
Michael Hager,Michael Hager,Cabinet,Digital Economy,27/05/2016,DSM,Microsoft,97
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,27/05/2016,"DSM general, copyright, free flow of data",Facebook,98
"Rolf Carsten Bermig 
Kaius Kristian Hedberg",Kaius Kristian Hedberg,Cabinet,Internal Market,31/05/2016,Memorandum of Understanding,Apple,95
"Rolf Carsten Bermig 
Kaius Kristian Hedberg",Rolf Carsten Bermig,Cabinet,Internal Market,31/05/2016,Memorandum of Understanding,Apple,96
Tomasz Husak,Tomasz Husak,Cabinet,Internal Market,01/06/2016,visit to the Campus Google,Google,94
Vice-President Maroš Šefčovič,Maroš Šefčovič,Vice-President,Energy Union,03/06/2016,"Energy efficiency, smart mobility",Google,93
Kaius Kristian Hedberg,Kaius Kristian Hedberg,Cabinet,Internal Market,10/06/2016,Meeting the new Managing Director EU Affairs and Head of Office in Brussels,Facebook,91
Marika LAUTSO-MOUSNIER,Marika Lautso-Mousnier,Cabinet,Jobs & Growth,10/06/2016,European Standards for the 21st Century and ICT Standards Priority Plan,Microsoft,92
Juho Romakkaniemi,Juho Romakkaniemi,Cabinet,Jobs & Growth,16/06/2016,Digital Single Market,Google,90
Manuel NOBRE GONCALVES Alfredo Sousa De Jesus Antonio Lowndes Marques De Araujo Vicente,Manuel Nobre Goncalves,Cabinet,Research,16/06/2016,mobile economy; open innovation,Google,87
Manuel NOBRE GONCALVES Alfredo Sousa De Jesus Antonio Lowndes Marques De Araujo Vicente,Alfredo Sousa De Jesus,Cabinet,Research,16/06/2016,mobile economy; open innovation,Google,88
Manuel NOBRE GONCALVES Alfredo Sousa De Jesus Antonio Lowndes Marques De Araujo Vicente,Antonio Lowndes Marques De Araujo Vicente ,Cabinet,Research,16/06/2016,mobile economy; open innovation,Google,89
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,17/06/2016,Privacy Shield,Facebook,86
Monika Ladmanova,Monika Ladmanova,Cabinet,Justice,22/06/2016,Corporate Social Responsibility,Google,85
Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,24/06/2016,Digital news initiative,Google,84
Anna Herold,Anna Herold,Cabinet,Digital Economy,27/06/2016,geoblocking,Amazon,82
Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,27/06/2016,DSM related issues,Microsoft,83
Bodo Lehmann,Bodo Lehmann,Cabinet,Digital Economy,28/06/2016,connected and automated driving,Google,80
Friedrich-Nikolaus Von Peter,Friedrich-Nikolaus Von Peter,Cabinet,Transport,28/06/2016,self-driving car project,Google,81
Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,30/06/2016,meeting the new Head of public policy and government relations in the EU,Uber,79
Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,04/07/2016,Digital Singel Market,Google,78
Markus Schulte,Markus Schulte,Cabinet,Digital Economy,07/07/2016,Telecom policy,Facebook,76
Telmo Baltazar,Telmo Baltazar,Cabinet,Presidency,07/07/2016,Transport policy,Uber,77
Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,08/07/2016,collaborative economy,Uber,75
Director-General Roberto Viola,Roberto Viola,Cabinet,Digital Economy,12/07/2016,DSM (Telecoms review and upcoming legislation in September),Amazon,73
Joshua Salsby,Joshua Salsby,Cabinet,Transport,12/07/2016,Aviation,Amazon,74
Thibaut KLEINER,Thibaut Kleiner,Cabinet,Digital Economy,13/07/2016,Telco review,Facebook,72
Juhan Lepassaar Kamila Kloc Laure Chapuis-Kombos,Juhan Lepassaar,Cabinet,Digital Single Market,18/07/2016,"e-privacy, telecom review",Microsoft,68
Juhan Lepassaar Kamila Kloc Laure Chapuis-Kombos,Kamila Kloc,Cabinet,Digital Single Market,18/07/2016,"e-privacy, telecom review",Microsoft,69
Juhan Lepassaar Kamila Kloc Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,18/07/2016,"e-privacy, telecom review",Microsoft,70
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,18/07/2016,"e-privacy, telecom review",Microsoft,71
Andras Inotai,Andras Inotai,Cabinet,Environment,22/08/2016,Ongoing competition cases against Google,Google,67
Isabelle Perignon,Isabelle Perignon,Cabinet,Justice,22/08/2016,Competition issues,Google,66
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,29/08/2016,Copyright reform,Facebook,65
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,31/08/2016,"Net neutrality, telco review, e-privacy",Facebook,64
Hanna Hinrikus Stig Joergen Gren,Hanna Hinrikus,Cabinet,Digital Single Market,02/09/2016,Copyright,Google,62
Hanna Hinrikus Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,02/09/2016,Copyright,Google,63
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,08/09/2016,"Copyright, AVMSD",Google,56
Juhan Lepassaar Hanna Hinrikus,Juhan Lepassaar,Cabinet,Digital Single Market,08/09/2016,"Copyright, AVMSD",Google,57
Juhan Lepassaar Hanna Hinrikus,Hanna Hinrikus,Cabinet,Digital Single Market,08/09/2016,"Copyright, AVMSD",Google,58
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,08/09/2016,"AVMSD, data protection",Facebook,59
Juhan Lepassaar Hanna Hinrikus,Juhan Lepassaar,Cabinet,Digital Single Market,08/09/2016,"AVMSD, data protection",Facebook,60
Juhan Lepassaar Hanna Hinrikus,Hanna Hinrikus,Cabinet,Digital Single Market,08/09/2016,"AVMSD, data protection",Facebook,61
Director-General Gertrud INGESTAD,Gertrud Ingestad,Director-General,Digital Economy,09/09/2016,"Microsoft strategy update, DIGIT priorities, Governance",Microsoft,55
Michael Hager Anna Herold,Michael Hager,Cabinet,Digital Economy,12/09/2016,copyright,Google,51
Michael Hager Anna Herold,Anna Herold,Cabinet,Digital Economy,12/09/2016,copyright,Google,52
Thibaut KLEINER,Thibaut Kleiner,Cabinet,Digital Economy,12/09/2016,"Copyright, innovation",Google,53
Director-General Roberto Viola,Roberto Viola,Cabinet,Digital Economy,12/09/2016,DSM (telecoms review and upcoming legislation in September),Amazon,54
Sebastian Kuck Edward Bannerman,Sebastian Kuck,Cabinet,Jobs & Growth,12/09/2016,Investment and competition issues,Google,49
Sebastian Kuck Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,12/09/2016,Investment and competition issues,Google,50
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,20/09/2016,"innovation, start-ups, collaborative economy",Uber,46
Tomasz Husak Fabrice Comptour,Tomasz Husak,Cabinet,Internal Market,20/09/2016,"innovation, start-ups, collaborative economy",Uber,47
Tomasz Husak Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,20/09/2016,"innovation, start-ups, collaborative economy",Uber,48
Head of the EPSC Ann Mettler,Ann Mettler,Head of the EPSC,Presidency,20/09/2016,Digital Economy,Facebook,45
Davinia Wood,Davinia Wood,Cabinet,Humanitarian Aid,21/09/2016,Preparation of Google Event BOZAR 19th Oct 2016,Google,43
Fabrice Comptour Tomasz Husak,Fabrice Comptour,Cabinet,Internal Market,21/09/2016,"Innovation, driverless cars",Google,41
Fabrice Comptour Tomasz Husak,Tomasz Husak,Cabinet,Internal Market,21/09/2016,"Innovation, driverless cars",Google,42
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,21/09/2016,"Innovation, driverless cars",Google,44
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,23/09/2016,"innovation, digital",Microsoft,38
Fabrice Comptour Tomasz Husak,Fabrice Comptour,Cabinet,Internal Market,23/09/2016,"innovation, digital",Microsoft,39
Fabrice Comptour Tomasz Husak,Tomasz Husak,Cabinet,Internal Market,23/09/2016,"innovation, digital",Microsoft,40
Markus Schulte,Markus Schulte,Cabinet,Digital Economy,28/09/2016,Telecom framework,Facebook,37
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,29/09/2016,e-privacy issues,Facebook,36
Thibaut KLEINER,Thibaut Kleiner,Cabinet,Digital Economy,03/10/2016,Publishing economies,Google,34
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,03/10/2016,Mobile economy,Google,35
Rodrigo Ballester,Rodrigo Ballester,Cabinet,Education,04/10/2016,ICT in education,Google,33
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,09/10/2016,US politics,Microsoft,32
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,10/10/2016,Geoblocking,Amazon,30
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,10/10/2016,DSM Strategy,Microsoft,31
Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,11/10/2016,Platforms,Facebook,29
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,13/10/2016,"E-commerce, free flow of data, VAT",Amazon,27
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,13/10/2016,"E-commerce, free flow of data, VAT",Amazon,28
Director-General Roberto Viola,Roberto Viola,Cabinet,Digital Economy,19/10/2016,Google vision on the Copyright reform proposal of the Commission; Update on partnership between Google and EU Industry stakeholders; e-Privacy Directive review,Google,26
Rodrigo Ballester,Rodrigo Ballester,Cabinet,Education,24/10/2016,ICT in education,Google,25
Rodrigo Ballester,Rodrigo Ballester,Cabinet,Education,07/11/2016,ICT in education,Google,24
Michael SHOTTER Martin Selmayr,Michael Shotter,Cabinet,Presidency,08/11/2016,Collaborative Economy,Uber,22
Michael SHOTTER Martin Selmayr,Martin Selmayr,Cabinet,Presidency,08/11/2016,Collaborative Economy,Uber,23
William NEALE,William Neale,Cabinet,Environment,09/11/2016,Sustainable mobility,Uber,21
Alisa TIGANJ,Alisa Tiganj,Cabinet,Transport,10/11/2016,"Uber, Affaires publiques en Europe centrale et orientale.",Uber,20
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,15/11/2016,technology in mobility services,Uber,17
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,15/11/2016,"Collaborative economy, mobility services, startups",Uber,14
Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,15/11/2016,"Collaborative economy, mobility services, startups",Uber,19
Juho Romakkaniemi,Juho Romakkaniemi,Cabinet,Jobs & Growth,15/11/2016,Digital Single Market,Microsoft,13
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,15/11/2016,Uber and competitiveness within the Single Market,Uber,15
Filomena CHIRICO,Filomena Chirico,Cabinet,Jobs & Growth,15/11/2016,Uber and competitiveness within the Single Market,Uber,18
Michael Karnitschnig,Michael Karnitschnig,Cabinet,Neighbourhood,15/11/2016,Economic reforms and mobility in the Neighbourhood countries,Uber,16
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,18/11/2016,DSM,Google,12
Daniel Braun Renate Nikolay,Daniel Braun,Cabinet,Justice,23/11/2016,Code of Conduct,Google,6
Daniel Braun Renate Nikolay,Renate Nikolay,Cabinet,Justice,23/11/2016,Code of Conduct,Google,7
Daniel Braun Renate Nikolay,Daniel Braun,Cabinet,Justice,23/11/2016,Code of Conduct,Facebook,8
Daniel Braun Renate Nikolay,Renate Nikolay,Cabinet,Justice,23/11/2016,Code of Conduct,Facebook,9
Daniel Braun Renate Nikolay,Daniel Braun,Cabinet,Justice,23/11/2016,Code of Conduct,Microsoft,10
Daniel Braun Renate Nikolay,Renate Nikolay,Cabinet,Justice,23/11/2016,Code of Conduct,Microsoft,11
Patricia Reilly,Patricia Reilly,Cabinet,Education,30/11/2016,Artificial Intelligence and Machine Learning in education and science,Google,4
Filomena CHIRICO,Filomena Chirico,Cabinet,Jobs & Growth,30/11/2016,ICT standard setting in the international context EU-US-China,Microsoft,5
Adrienn Kiraly Szabolcs Horvath,Adrienn Kiraly,Cabinet,Education,02/12/2016,Year of cultural heritage,Google,2
Adrienn Kiraly Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,02/12/2016,Year of cultural heritage,Google,3